
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#

= Überblick über die ÖPNV-Linien des "Verkehrsverbund Tirol"

- Verweis auf die Datei mit den [[Austria/Nahverkehr_Tirol/Analyse/VVT-Linien|VVT-Linien]] im Wiki.
- Verweis auf mehr [/de/config.php?network=AT-VVT Informationen] bei PTNA.


== Züge

FV;train;Sonderfahrplan für den Fernverkehr Tirol;Landeck-Zams;Kufstein/Hochfilzen
N8;bus;Innsbruck: Hauptbahnhof - Kranebitten
N10;bus;Innsbruck - Zirl - Pettnau - Telfs
N11;bus;Innsbruck - Natters - Mutters - Götzens - Axams - Grinzens
N12;bus;Innsbruck - Völs - Kematen i. T. - Ranggen - Oberperfuss
N14;bus;Innsbruck - Ampass - Aldrans - Lans - Sistrans - Rinn - Tulfes
502N;bus;Nightliner: Innsbruck - Rum - Thaur - Absam - Eichat
590N;bus;Nightliner: Innsbruck - Schönberg i. St. - Mieders - Fulpmes - Neustift i. St.



=== Nightliner / Nachtbus regional

N16;bus;Schönberg i. St. - Matrei a. Br. - Steinach a. Br. - Gries a. Br.
350N;bus;Innsbruck - Zirl - Telfs
355N;bus;Telfs - Mieming - Nassereith
404N;bus;Innsbruck - Natters - Götzens - Axams - Grinzens
464N;bus;Innsbruck - Völs - Kematen i. T. - Ranggen - Oberperfuss
540N;bus;Innsbruck - Aldrans - Sistrans - Rinn - Tulfes - Hall in Tirol
560N;bus;Innsbruck - Ellbögen - Matrei a. Br. - Steinach a. Br. - Gries a. Br.
730N;bus;Nightliner: Kufstein - Ebbs - Niederndorf - Walchsee - Kössen
900N;bus;Nightliner: Lienz - Ainet - Huben - Matrei i. O.
901N;bus;Nightliner: Sillian - Lienz - Nikolsdorf



=== Anrufsammeltaxi (AST)

110T;bus;Reutte - Weissenbach a.L. - Elbigenalp - Steeg
120T;bus;Reutte - Weißenbach a.L. - Tannheim - Schattwald
460T;bus;Regiotax: Grinzens - Sellrain - Oberperfuss
523T;bus;Regiotax: Wattens - Volders
525T;bus;Regiotax: Wattenberg
569T;bus;Regiotax: Oberellbögen
682T;bus;Regiotax: Gerlosberg
730T;bus;Niederndorf - Niederndorferberg
953T;bus;Huben - Hopfgarten - St. Veit - St. Jakob in Defereggen
962T;bus;Thal - Assling - Anras - Abfaltersbach



=== Linien nicht im Verbund

== Saisonbusse nicht im Verbund

ENG BUS;bus;Kolsass - Weer - Pill - Schwaz - Vomp - Stans - Jenbach - Hinterriß (Eng) (saisonal/seasonal);;;Tourismusverband Silberregion-Karwendel, Zillertalbahn
Hechtsee;bus;Kufstein Bahnhof - Hechtsee (nur im Sommer bei Badewetter/only in summer in nice weather);;;Fa. Lederer
NL;bus;Ehrwald - Lermoos - Biberwier - Ehrwald (Nachtbus/Nightliner - nur im Winter/only in winter)
SSB;bus;Sightseeing-Bus Silberregion Karwendel (nur im Sommer/only in summer);;;Tourismusverband Silberregion-Karwendel, Zillertalbahn

== CityBus Wörgl

1;bus;Wörgl:Hauptbahnhof - Friedensiedlung - Bruckhäusl;;;Stadtgemeinde Wörgl
2;bus;Wörgl:Hauptbahnhof - Bodensiedlung;;;Stadtgemeinde Wörgl
3;bus;Wörgl:Hauptbahnhof - Wave;;;Stadtgemeinde Wörgl
