
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#


#
# TODO: Zuordnen der mehrfach vorkommenden 'ref'-Werte zu den jeweiligen regionalen Linien
#


= Überblick über die ÖPNV-Linien des Verkehrsverbund Vorarlberg (VVV)

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Vorarlberg/Analyse/VVV-Linien|VVV Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-VVV Informationen] zu dieser Auswertung.
-

== Quellen 
-
#
==S-Bahn
S1;train;Lindau - Bregenz - Dornbirn - Hohenems - Götzis - Rankweil - Feldkirch - Bludenz;;;;1-MS1-V-j26-1
603;bus;Schruns Bahnhof - Zamang - Zelfen - Aktivpark - Bahnhof;;;Ortsbus Schruns/Tschagguns;AT-VVV;at:vvv:603:;
#604;bus;Schruns - Außerlitz - Sozialzentrum - Schruns;;;Ortsbus Schruns/Tschagguns;AT-VVV;at:vvv:604:;
605;bus;"Schruns-Zamang Bahn-Zelfen-Latschau Golmerbahn";;;Ortsbus Schruns/Tschagguns;AT-VVV;at:vvv:605:;
605;bus;Schruns - Zamang - Zelfen - Golmerbahn;;;Ortsbus Schruns/Tschagguns;AT-VVV;at:vvv:605:;
-
#
==Landbus Montafon
621;bus;Schruns - Gantschier - Golmerbahn - Vandans und retour;;;mbsBus GmbH;AT-VVV;at:vvv:621:;
622;bus;Vandans Bahnhof - Golmerbahn - Zwischenbach - Vens - Bahnhof;;;mbsBus GmbH;AT-VVV;at:vvv:622:;
623;bus;Vandans Bahnhof - Golmerbahn - Gantschier - Vandans;;;mbsBus GmbH;AT-VVV;at:vvv:623:;
624;bus;Vandans - St.Anton i. M. - Vandans;;;mbsBus GmbH;AT-VVV;at:vvv:624:;
640;bus;Schruns - Bartholomäberg - Innerberg;;;mbsBus GmbH;AT-VVV;at:vvv:640:;
641;bus;Schruns - Vandans - St. Anton i. M. - Bartolomäberg und retour;;;mbsBus GmbH;AT-VVV;at:vvv:641:;
650;bus;Schruns - St. Gallenkirch - Gaschurn - Partenen - Bielerhöhe (- Stausee Kops);;;mbsBus GmbH;AT-VVV;at:vvv:650:;
651;bus;Schruns - Tschagguns Zelfen - St. Gallenkirch - Gaschurn - Partenen;;;mbsBus GmbH;AT-VVV;at:vvv:651:;
#655;bus;St. Anton i. M. - Vandans - Schruns und retour;;;mbsBus GmbH;AT-VVV;at:vvv:655:;
670;bus;Schruns - St. Gallenkirch - Gargellen;;;mbsBus GmbH;AT-VVV;at:vvv:670:;
680;bus;Schruns - Silbertal;;;mbsBus GmbH;AT-VVV;at:vvv:680:;
-
#
==Ortsbus Lech
701;bus;"James Stubenbach";;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:1701:;
701;bus;Stubenbach - Rüfiplatz;;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:701:;
702;bus;Lech Postamt - Zug Mautstelle;;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:702:;
703;bus;"James Zürs";;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:1703:;
703;bus;Lech Postamt - Zürs Trittkopfbahn;;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:703:;
704;bus;"James Oberlech";;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:1704:;
704;bus;Rüfiplatz - Oberlech Schlössle;;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:704:;
705;bus;"James Oberstubenbach";;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:1705:;
705;bus;Rüfiplatz - sport.park.lech - Oberstubenbach;;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:705:;
706;bus;Rüfiplatz – Spullersee (Wanderbus);;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:706:;
#707;bus;Rüfiplatz – Formarinsee (Wanderbus);;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:707:;
708;bus;Postamt - Omesberg;;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:708:;
#709;bus;Rüfiplatz - Saloberlifte;;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:709:;
711;bus;Rüfiplatz - Feuerwehrhaus;;;Ortsbus Lech (Gemeinde Lech);AT-VVV;at:vvv:711:;
-
#
==Landbus Klostertal und Arlberg
720;bus;Bludenz - Dalaas - Wald - Klösterle - Stuben;;;AXL GmbH;AT-VVV;at:vvv:720:;
750;bus;Langen a. A. - Lech;;;Postbus Verkehrsstelle Lech;AT-VVV;at:vvv:750:;
760;bus;St. Anton a. A. - Stuben - Zürs - Lech;;;Postbus Verkehrsstelle Lech;AT-VVV;at:vvv:760:;
-
#
==Ortsbus Damüls
801;bus;Damüls - Oberdamüls;;;Landbus Großes Walsertal;AT-VVV;at:vvv:801:;
#802;bus;Schischulbus Alpenblume - Übungsgelände - Walisgaden
-
#
==Landbus Bregenzerwald
#820;bus;Bregenz - Langen - Krumbach - Hittisau - Egg;;;Landbus Bregenzerwald;AT-VVV;at:vvv:820:;
821;bus;Bregenz - Scheidegg - Weiler im Allgäu;;;Landbus Bregenzerwald;AT-VVV;at:vvv:821:;
822;bus;Fahl - Thal;;;Landbus Bregenzerwald;AT-VVV;at:vvv:822:;
823;bus;Fahl - Sulzberg - Doren;;;Landbus Bregenzerwald;AT-VVV;at:vvv:823:;
824;bus;Doren Huban - Gullenbach - Sulzberg und retour;;;Landbus Bregenzerwald;AT-VVV;at:vvv:824:;
825;bus;Sulzberg - Gullenbach und retour;;;Landbus Bregenzerwald;AT-VVV;at:vvv:825:;
827;bus;Egg - Großdorf - Schetteregg;;;Landbus Bregenzerwald;AT-VVV;at:vvv:827:;
830;bus;Bregenz - Alberschwende - Egg - Schwarzenberg - Bezau;;;Landbus Bregenzerwald;AT-VVV;at:vvv:830:;
